"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file"
"MP_-1",500,6900,2500,60.4,52.7,50,60.4,"Protein",0.771,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",525,4375,1875,60.4,39.6,30,60.4,"Protein",0.777,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",575,7775,1875,60.4,39.6,50,60.4,"Protein",0.781,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",650,6950,2500,60.4,52.7,50,60.4,"Protein",0.769,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",725,4575,3125,75,53.1,55,75,"Protein",0.79,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",750,8175,3125,80.9,49.2,55,80.9,"Protein",0.822,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",875,5250,1250,50,31.8,25,50,"Protein",0.728,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_0",1000,3800,3750,104.1,45.9,77.5,104.1,"PET",0.886,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_1",1150,3250,6875,152.5,57.4,75,152.5,"PET",0.848,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1200,4450,2500,60.4,52.7,50,60.4,"Protein",0.72,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1325,4050,1250,50,31.8,25,50,"Protein",0.693,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1450,4200,2500,60.4,52.7,50,60.4,"Protein",0.782,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1525,5850,6875,104.1,84.1,97.5,104.1,"Protein",0.828,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_2",1550,3000,3750,80.9,59,50,80.9,"PET",0.878,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1525,3375,1875,60.4,39.6,50,60.4,"Protein",0.666,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1550,5650,2500,60.4,52.7,50,60.4,"Protein",0.739,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1550,6525,1875,60.4,39.6,30,60.4,"Protein",0.704,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1650,4500,2500,60.4,52.7,50,60.4,"Protein",0.773,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1675,2900,2500,75,42.4,55,75,"Cellulose",0.692,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1700,2700,5000,128.1,49.7,50,128.1,"Cellulose",0.769,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1725,5475,3750,80.9,59,55,80.9,"Protein",0.833,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1800,6325,6250,104.1,76.5,100,104.1,"Protein",0.884,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1825,7725,1875,60.4,39.6,50,60.4,"Protein",0.725,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1950,9500,3125,80.9,49.2,50,80.9,"Cellulose",0.886,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1975,2550,16250,200.9,103,175,200.9,"Cellulose",0.693,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1975,7200,6250,115.1,69.1,75,115.1,"Protein",0.947,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",1975,9750,3125,80.9,49.2,50,80.9,"Protein",0.796,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2000,4850,2500,60.4,52.7,50,60.4,"Protein",0.898,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2000,9575,3125,80.9,49.2,55,80.9,"Protein",0.796,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2050,10250,2500,60.4,52.7,50,60.4,"Protein",0.799,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2050,5300,2500,60.4,52.7,50,60.4,"Protein",0.75,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2125,7025,2500,75,42.4,55,75,"Protein",0.769,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2150,9000,2500,60.4,52.7,50,60.4,"Protein",0.674,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2175,9775,1875,60.4,39.6,30,60.4,"Protein",0.67,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2225,7700,3125,80.9,49.2,75,80.9,"Cellulose",0.773,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2250,2825,4375,95.7,58.2,75,95.7,"Protein",0.858,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2225,4850,3125,80.9,49.2,50,80.9,"Protein",0.722,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2200,10000,2500,60.4,52.7,50,60.4,"Protein",0.788,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2250,7875,4375,95.7,58.2,75,95.7,"Cellulose",0.813,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2300,4550,2500,60.4,52.7,50,60.4,"Protein",0.72,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2300,9575,1250,50,31.8,30,50,"Protein",0.677,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2350,2250,3750,80.9,59,50,80.9,"Protein",0.863,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2350,7500,2500,60.4,52.7,50,60.4,"Protein",0.74,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_3",2500,2675,31875,292.5,138.7,195,292.5,"PET",0.91,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2425,2775,8750,150,74.3,97.5,150,"Protein",0.95,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2450,1850,3125,75,53.1,55,75,"Protein",0.775,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2450,3575,1250,50,31.8,30,50,"Protein",0.687,"Comparstic Spotlight F2Ba Au 240926.csv"
"MP_-1",2500,3200,2500,60.4,52.7,50,60.4,"Protein",0.786,"Comparstic Spotlight F2Ba Au 240926.csv"
